Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,1-1-2020,Northeast,New York,New York,Men's Street Footwear,50.00,1200.00,600000.00,300000.00,0.50,In-store
Foot Locker,1185732,2-1-2020,Northeast,New York,New York,Men's Athletic Footwear,50.00,1000.00,500000.00,150000.00,0.30,In-store
Foot Locker,1185732,3-1-2020,Northeast,New York,New York,Women's Street Footwear,40.00,1000.00,400000.00,140000.00,0.35,In-store
Foot Locker,1185732,4-1-2020,Northeast,New York,New York,Women's Athletic Footwear,45.00,850.00,382500.00,133875.00,0.35,In-store
Foot Locker,1185732,5-1-2020,Northeast,New York,New York,Men's Apparel,60.00,900.00,540000.00,162000.00,0.30,In-store
Foot Locker,1185732,6-1-2020,Northeast,New York,New York,Women's Apparel,50.00,1000.00,500000.00,125000.00,0.25,In-store
Foot Locker,1185732,7-1-2020,Northeast,New York,New York,Men's Street Footwear,50.00,1250.00,625000.00,312500.00,0.50,In-store
Foot Locker,1185732,8-1-2020,Northeast,New York,New York,Men's Athletic Footwear,50.00,900.00,450000.00,135000.00,0.30,Outlet
Foot Locker,1185732,1-21-2020,Northeast,New York,New York,Women's Street Footwear,40.00,950.00,380000.00,133000.00,0.35,Outlet
Foot Locker,1185732,1-22-2020,Northeast,New York,New York,Women's Athletic Footwear,45.00,825.00,371250.00,129938.00,0.35,Outlet
Foot Locker,1185732,1-23-2020,Northeast,New York,New York,Men's Apparel,60.00,900.00,540000.00,162000.00,0.30,Outlet
Foot Locker,1185732,1-24-2020,Northeast,New York,New York,Women's Apparel,50.00,1000.00,500000.00,125000.00,0.25,Outlet
Foot Locker,1185732,1-25-2020,Northeast,New York,New York,Men's Street Footwear,50.00,1220.00,610000.00,305000.00,0.50,Outlet
Foot Locker,1185732,1-26-2020,Northeast,New York,New York,Men's Athletic Footwear,50.00,925.00,462500.00,138750.00,0.30,Outlet
Foot Locker,1185732,1-27-2020,Northeast,New York,New York,Women's Street Footwear,40.00,950.00,380000.00,133000.00,0.35,Outlet
Foot Locker,1185732,1-28-2020,Northeast,New York,New York,Women's Athletic Footwear,45.00,800.00,360000.00,126000.00,0.35,Outlet
Foot Locker,1185732,1-29-2020,Northeast,New York,New York,Men's Apparel,60.00,850.00,510000.00,153000.00,0.30,Outlet
Foot Locker,1185732,1-30-2020,Northeast,New York,New York,Women's Apparel,50.00,950.00,475000.00,118750.00,0.25,Outlet
Foot Locker,1185732,1-31-2020,Northeast,New York,New York,Men's Street Footwear,50.00,1200.00,600000.00,300000.00,0.50,Outlet
Foot Locker,1185732,1-2-2020,Northeast,New York,New York,Men's Athletic Footwear,50.00,900.00,450000.00,135000.00,0.30,Outlet
Foot Locker,1185732,2-2-2020,Northeast,New York,New York,Women's Street Footwear,40.00,900.00,360000.00,126000.00,0.35,Outlet
Foot Locker,1185732,3-2-2020,Northeast,New York,New York,Women's Athletic Footwear,45.00,825.00,371250.00,129938.00,0.35,Outlet
Foot Locker,1185732,4-2-2020,Northeast,New York,New York,Men's Apparel,60.00,825.00,495000.00,148500.00,0.30,Outlet
Foot Locker,1185732,5-2-2020,Northeast,New York,New York,Women's Apparel,50.00,950.00,475000.00,118750.00,0.25,Outlet
Foot Locker,1185732,6-2-2020,Northeast,New York,New York,Men's Street Footwear,60.00,1220.00,732000.00,366000.00,0.50,Outlet
Foot Locker,1185732,7-2-2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,925.00,508750.00,152625.00,0.30,Outlet
Foot Locker,1185732,8-2-2020,Northeast,New York,New York,Women's Street Footwear,50.00,900.00,450000.00,157500.00,0.35,Outlet
Foot Locker,1185732,9-2-2020,Northeast,New York,New York,Women's Athletic Footwear,50.00,850.00,425000.00,148750.00,0.35,Outlet
